Rank,Title,Rating,Image_URL,Episodes,Dates,Members
1414,Sasaki to Miyano: Koi ni Kizuku Mae no Chotto Shita Hanashi.,7.61,https://cdn.myanimelist.net/r/50x70/images/anime/1455/120322.jpg?s=2e728c59c3664374381cef00d514e1b8,OVA (1 eps),Jul 2022 - Jul 2022,33333
1415,Senki Zesshou Symphogear AXZ,7.61,https://cdn.myanimelist.net/r/50x70/images/anime/3/86584.jpg?s=7962d76ddb7565b3c81797abcbd2024b,TV (13 eps),Jul 2017 - Oct 2017,35642
1416,Shinigami Bocchan to Kuro Maid,7.61,https://cdn.myanimelist.net/r/50x70/images/anime/1471/115593.jpg?s=fd7b709d1debf2bf7204e541f1e868ae,TV (12 eps),Jul 2021 - Sep 2021,231263
1417,Aikatsu! 10th Story: Mirai e no Starway (2023),7.61,https://cdn.myanimelist.net/r/50x70/images/anime/1837/130395.jpg?s=f4b899ae04bfe67bb5510e37bab86529,Movie (1 eps),Jan 2023 - Jan 2023,1323
1418,Bokura no,7.61,https://cdn.myanimelist.net/r/50x70/images/anime/1690/97048.jpg?s=f8cd685c97ae94c2b4abc2546488d6c5,TV (24 eps),Apr 2007 - Sep 2007,189212
1419,Chrno Crusade,7.61,https://cdn.myanimelist.net/r/50x70/images/anime/13/14141.jpg?s=e09e15115f98640279ef22bc35d0fc18,TV (24 eps),Nov 2003 - Jun 2004,224427
1420,Diamond no Ace: Second Season OVA,7.61,https://cdn.myanimelist.net/r/50x70/images/anime/12/83218.jpg?s=4e284901cdf0c1bf6bddb4722751591f,OVA (2 eps),Aug 2016 - Oct 2016,11263
1421,Douluo Dalu II: Jueshi Tangmen,7.61,https://cdn.myanimelist.net/r/50x70/images/anime/1447/123844.jpg?s=dc6d8f572fab9aac929cc98aaaa8bfbe,ONA (52 eps),Jun 2023 -,2085
1422,Fune wo Amu,7.61,https://cdn.myanimelist.net/r/50x70/images/anime/5/81624.jpg?s=d99374eeb7df94ac34a67812fb97c9ae,TV (11 eps),Oct 2016 - Dec 2016,120529
1423,Fushigi Yuugi,7.61,https://cdn.myanimelist.net/r/50x70/images/anime/2/20140.jpg?s=98acc8a660e8041dc2472f68a686151f,TV (52 eps),Apr 1995 - Mar 1996,118125
1424,Hakkenden: Touhou Hakken Ibun 2nd Season,7.61,https://cdn.myanimelist.net/r/50x70/images/anime/10/50885.jpg?s=b832779cbb1d7b3191103bd4632e5e59,TV (13 eps),Jul 2013 - Sep 2013,62921
1425,Heartcatch Precure! Movie: Hana no Miyako de Fashion Show... desu ka!?,7.61,https://cdn.myanimelist.net/r/50x70/images/anime/5/25737.jpg?s=e0b95f9ddc4299e4950d0888ccbbc366,Movie (1 eps),Oct 2010 - Oct 2010,7505
1426,Hellsing: Digest for Freaks,7.61,https://cdn.myanimelist.net/r/50x70/images/anime/7/26935.jpg?s=c425c70f333004525df2ff725964189b,OVA (1 eps),Jan 2006 - Jan 2006,43786
1427,Huyao Xiao Hongniang: Yue Hong,7.61,https://cdn.myanimelist.net/r/50x70/images/anime/1207/91950.jpg?s=b4ae1f6f3c59aa19eecc347678c1f8d5,ONA (13 eps),Jun 2016 - Sep 2016,13421
1428,Jigoku Shoujo,7.61,https://cdn.myanimelist.net/r/50x70/images/anime/4/86907.jpg?s=9fcf34995fcae5d1747cf67d175532eb,TV (26 eps),Oct 2005 - Apr 2006,354656
1429,Jigoku Shoujo Mitsuganae,7.61,https://cdn.myanimelist.net/r/50x70/images/anime/11/86976.jpg?s=f1cd31da1132815cc2b1431c9d2f2f45,TV (26 eps),Oct 2008 - Apr 2009,101855
1430,Junjou Romantica 3,7.61,https://cdn.myanimelist.net/r/50x70/images/anime/2/74170.jpg?s=d202c9ddad88d061622d3dbd44d3bc67,TV (12 eps),Jul 2015 - Sep 2015,119570
1431,Juubee Ninpuuchou,7.61,https://cdn.myanimelist.net/r/50x70/images/anime/1834/116568.jpg?s=9e6e9d64819a2ffbf279b31f22f21e24,Movie (1 eps),Jun 1993 - Jun 1993,137880
1432,Aishang Ta de Liyou,7.60,https://cdn.myanimelist.net/r/50x70/images/anime/1070/134906.jpg?s=d2b2b086a009d6bae6a78298bc1b7b12,ONA (22 eps),Apr 2023 - Jun 2023,19575
1433,BanG Dream! 2nd Season,7.60,https://cdn.myanimelist.net/r/50x70/images/anime/1967/108632.jpg?s=be1cc23001a790c4fe8fb0962551cab2,TV (13 eps),Jan 2019 - Mar 2019,43598
1434,BanG Dream! Morfonication,7.60,https://cdn.myanimelist.net/r/50x70/images/anime/1411/124237.jpg?s=82a4f05edd4832449ceb033c0094d14a,Special (2 eps),Jul 2022 - Jul 2022,5633
1435,Free! Dive to the Future,7.60,https://cdn.myanimelist.net/r/50x70/images/anime/1243/95025.jpg?s=0a818c7bf705b0a016559ae34d378983,TV (12 eps),Jul 2018 - Sep 2018,177825
1436,Full Metal Panic!,7.60,https://cdn.myanimelist.net/r/50x70/images/anime/2/75259.jpg?s=600431636ed7106334d3ed15ec550b99,TV (24 eps),Jan 2002 - Jun 2002,490377
1437,Hakuouki Movie 1: Kyoto Ranbu,7.60,https://cdn.myanimelist.net/r/50x70/images/anime/9/49399.jpg?s=f2975954b05099f014bcaebd2cb73501,Movie (1 eps),Aug 2013 - Aug 2013,28924
1438,Hana yori Dango,7.60,https://cdn.myanimelist.net/r/50x70/images/anime/2/42871.jpg?s=202b1f84d929a193b039ee934fd0ac1a,TV (51 eps),Sep 1996 - Aug 1997,61235
1439,Hirano to Kagiura,7.60,https://cdn.myanimelist.net/r/50x70/images/anime/1818/134200.jpg?s=68a5c654445bf8de60537eb48163caf5,Movie (1 eps),Feb 2023 - Feb 2023,22784
1440,"Ima, Soko ni Iru Boku",7.60,https://cdn.myanimelist.net/r/50x70/images/anime/1094/109008.jpg?s=62ecff4a18eefcf8ae529d353bca6115,TV (13 eps),Oct 1999 - Jan 2000,142678
1441,Soredemo Sekai wa Utsukushii,7.60,https://cdn.myanimelist.net/r/50x70/images/anime/4/59259.jpg?s=42293e6bf8673c3f610cc04a2f8a39c3,TV (12 eps),Apr 2014 - Jun 2014,309250
1442,Tong Ling Fei,7.60,https://cdn.myanimelist.net/r/50x70/images/anime/1066/103049.jpg?s=fd0b0cfa1dd84b66262c32527958313f,ONA (16 eps),Nov 2018 - Apr 2019,41731
1443,Uchuu Senkan Yamato,7.60,https://cdn.myanimelist.net/r/50x70/images/anime/1908/94946.jpg?s=639809107ed317fc1411c31bace21c4d,TV (26 eps),Oct 1974 - Mar 1975,28139
1444,Wu Dong Qian Kun 3rd Season,7.60,https://cdn.myanimelist.net/r/50x70/images/anime/1282/123462.jpg?s=fcc57ea26b63232c3a6f0ce90df3062c,ONA (12 eps),May 2022 - Jul 2022,3599
1445,Kekkai Sensen,7.60,https://cdn.myanimelist.net/r/50x70/images/anime/12/73559.jpg?s=f370251d2253f590a75febc00c1408bc,TV (12 eps),Apr 2015 - Oct 2015,859599
1446,Kekkaishi,7.60,https://cdn.myanimelist.net/r/50x70/images/anime/7/75191.jpg?s=33cdf1fe8e6a720ee5ab5dd9493464d0,TV (52 eps),Oct 2006 - Feb 2008,109302
1447,Kino no Tabi: The Beautiful World - The Animated Series,7.60,https://cdn.myanimelist.net/r/50x70/images/anime/13/87235.jpg?s=6ab2fa1ae9db59c22979ed40c6ca90b0,TV (12 eps),Oct 2017 - Dec 2017,202925
1448,Kuroko no Basket: Mou Ikkai Yarimasen ka,7.60,https://cdn.myanimelist.net/r/50x70/images/anime/12/68055.jpg?s=0b2ec9060099ecccbb09343498a1cd74,Special (1 eps),Jun 2014 - Jun 2014,48255
1449,Macross Δ Movie 2: Zettai Live!!!,7.60,https://cdn.myanimelist.net/r/50x70/images/anime/1687/117888.jpg?s=1ad09f9e4f1969f014202ce1c430eab5,Movie (1 eps),Oct 2021 - Oct 2021,7616
1450,Master Keaton,7.60,https://cdn.myanimelist.net/r/50x70/images/anime/7/73931.jpg?s=29fc12e94a1d5d377db5fb7f35a7c5d4,TV (24 eps),Oct 1998 - Mar 1999,27105
1451,Meitantei Conan Movie 09: Suihei Senjou no Strategy Recap,7.60,https://cdn.myanimelist.net/r/50x70/images/anime/6/25397.jpg?s=1e45b13a83ff61041c88505f69ee9b4d,Special (1 eps),2005 - 2005,9708
1452,Persona 3 the Movie 3: Falling Down,7.60,https://cdn.myanimelist.net/r/50x70/images/anime/8/72443.jpg?s=fedc6d2c38b59dc6742433e6e2b5c672,Movie (1 eps),Apr 2015 - Apr 2015,73932
1453,Prison School,7.60,https://cdn.myanimelist.net/r/50x70/images/anime/1286/112161.jpg?s=7a7d2a2c2a2a4d62bffc2662d3376367,TV (12 eps),Jul 2015 - Sep 2015,994685
1454,Re:Zero kara Hajimeru Isekai Seikatsu - Hyouketsu no Kizuna,7.60,https://cdn.myanimelist.net/r/50x70/images/anime/1238/104023.jpg?s=3791c2dd4aba0d5c659ab9f94998aac5,Movie (1 eps),Nov 2019 - Nov 2019,252921
1455,Shoujo☆Kageki Revue Starlight: Rondo Rondo Rondo,7.60,https://cdn.myanimelist.net/r/50x70/images/anime/1542/108494.jpg?s=e70f0d1da74d025bce72dda8b2e1d0cb,Movie (1 eps),Aug 2020 - Aug 2020,7248
1456,Kareshi Kanojo no Jijou,7.59,https://cdn.myanimelist.net/r/50x70/images/anime/1222/108880.jpg?s=28d5a3f8fe3df089e938ace1c5b0e940,TV (26 eps),Oct 1998 - Mar 1999,225986
1457,Majin Tantei Nougami Neuro,7.59,https://cdn.myanimelist.net/r/50x70/images/anime/12/20930.jpg?s=ba42fac317caf746b232a978f258bc8d,TV (25 eps),Oct 2007 - Mar 2008,66880
1458,Majo Minarai wo Sagashite,7.59,https://cdn.myanimelist.net/r/50x70/images/anime/1937/110713.jpg?s=e0394077faddbc30e2a3f305e4feb62a,Movie (1 eps),Nov 2020 - Nov 2020,10916
1459,Meitantei Conan: Conan vs. Kid - Shark & Jewel,7.59,https://cdn.myanimelist.net/r/50x70/images/anime/1864/138513.jpg?s=f7f92a633cd4542f2f75471109fef306,Movie (1 eps),Jul 2005 - Jul 2005,8423
1460,Ongaku,7.59,https://cdn.myanimelist.net/r/50x70/images/anime/1822/112652.jpg?s=65227c054666119f2245d27697802933,Movie (1 eps),Jan 2020 - Jan 2020,11947
1461,Romeo x Juliet,7.59,https://cdn.myanimelist.net/r/50x70/images/anime/12/75159.jpg?s=b55e8282d878fb91a2a8b1f511f0ff66,TV (24 eps),Apr 2007 - Sep 2007,181890
1462,Senpai ga Uzai Kouhai no Hanashi,7.59,https://cdn.myanimelist.net/r/50x70/images/anime/1055/118890.jpg?s=db0ff4368b44255dbdf4f41ea1a84803,TV (12 eps),Oct 2021 - Dec 2021,320584
1463,Shin Tennis no Oujisama vs. Genius 10,7.59,https://cdn.myanimelist.net/r/50x70/images/anime/12/65403.jpg?s=a0944f886d3a40bbd146f8a4f20b97aa,OVA (10 eps),Oct 2014 - Jun 2015,18691
1464,Shingeki no Kyojin Season 3 Specials,7.59,https://cdn.myanimelist.net/r/50x70/images/anime/1909/99638.jpg?s=26b53d31f3d98bfb825f6ab0627ddd61,Special (7 eps),Oct 2018 - Sep 2019,35177
1465,Shinigami Bocchan to Kuro Maid 2nd Season,7.59,https://cdn.myanimelist.net/r/50x70/images/anime/1078/136947.jpg?s=373be378ce68c8a64db6d27032b8b72a,TV (12 eps),Jul 2023 - Sep 2023,70171
1466,Akudama Drive,7.59,https://cdn.myanimelist.net/r/50x70/images/anime/1468/109172.jpg?s=7d623bbc59ef48f0e569ea75656fd3ac,TV (12 eps),Oct 2020 - Dec 2020,420998
1467,Ashita no Nadja,7.59,https://cdn.myanimelist.net/r/50x70/images/anime/7/75381.jpg?s=24972581fc3354be72a1f187b53c8191,TV (50 eps),Feb 2003 - Jan 2004,32151
1468,Asobi Asobase Specials,7.59,https://cdn.myanimelist.net/r/50x70/images/anime/1270/97437.jpg?s=0af75bfb1d85ac6022bf26e8f724d1d0,Special (2 eps),Nov 2018 - Dec 2018,44712
1469,Chuuka Ichiban!,7.59,https://cdn.myanimelist.net/r/50x70/images/anime/6/75283.jpg?s=e1dc626a881957e8efdf0d7cc88c1e25,TV (52 eps),Apr 1997 - Sep 1998,19768
1470,COLORs,7.59,https://cdn.myanimelist.net/r/50x70/images/anime/1241/132103.jpg?s=53a40ee8dd1350d8d833ba56b53db510,ONA (1 eps),Mar 2023 - Mar 2023,5962
1471,Diamond no Ace OVA,7.59,https://cdn.myanimelist.net/r/50x70/images/anime/5/71263.jpg?s=7879d98313151496742ebe49617f576d,OVA (3 eps),Nov 2014 - Mar 2015,16988
1472,Digimon Adventure Movie,7.59,https://cdn.myanimelist.net/r/50x70/images/anime/3/72452.jpg?s=80e2d3d77e094afa9b595a866c088199,Movie (1 eps),Mar 1999 - Mar 1999,111978
1473,Dragon Ball Z Movie 12: Fukkatsu no Fusion!! Gokuu to Vegeta,7.59,https://cdn.myanimelist.net/r/50x70/images/anime/1015/93675.jpg?s=ba2be57467ffb2de2d6d3999e55637f6,Movie (1 eps),Mar 1995 - Mar 1995,149351
1474,Fate/Grand Order: Shinsei Entaku Ryouiki Camelot 2 - Paladin; Agateram,7.59,https://cdn.myanimelist.net/r/50x70/images/anime/1736/114615.jpg?s=c400e12849bee5ecbafdf506efec9da6,Movie (1 eps),May 2021 - May 2021,71061
1475,Free! Movie 1: Timeless Medley - Kizuna,7.59,https://cdn.myanimelist.net/r/50x70/images/anime/5/87930.jpg?s=df39455aab5541e4adbe20b6494b4f56,Movie (1 eps),Apr 2017 - Apr 2017,48787
1476,"Fuufu Ijou, Koibito Miman.",7.59,https://cdn.myanimelist.net/r/50x70/images/anime/1713/126442.jpg?s=dacdcff19c64264691fb40c9a3b1e8f5,TV (12 eps),Oct 2022 - Dec 2022,279540
1477,Hakuouki: Sekkaroku,7.59,https://cdn.myanimelist.net/r/50x70/images/anime/6/71799.jpg?s=48c8d6bf8e6a1107e158576e8c8bfa42,OVA (6 eps),Aug 2011 - Jun 2012,27702
1478,Hoshiai no Sora,7.59,https://cdn.myanimelist.net/r/50x70/images/anime/1807/103081.jpg?s=146dafc712b9d57cfce69579786bd1d0,TV (12 eps),Oct 2019 - Dec 2019,197083
1479,Hourou Musuko Specials,7.59,https://cdn.myanimelist.net/r/50x70/images/anime/7/30177.jpg?s=d443a45ee166e3820af5cf5a7e27aea7,Special (2 eps),Aug 2011 - Sep 2011,9980
1480,Tennis no Oujisama: Another Story - Kako to Mirai no Message,7.59,https://cdn.myanimelist.net/r/50x70/images/anime/1907/133535.jpg?s=403e5b19f8dfc7a7942d580f75eb2603,OVA (4 eps),May 2009 - Sep 2009,15188
1481,Tensura Nikki: Tensei shitara Slime Datta Ken,7.59,https://cdn.myanimelist.net/r/50x70/images/anime/1458/117607.jpg?s=676ea436c86f8749b9231305a18c2638,TV (12 eps),Apr 2021 - Jun 2021,325056
1482,Yahari Ore no Seishun Love Comedy wa Machigatteiru. OVA,7.59,https://cdn.myanimelist.net/r/50x70/images/anime/9/54831.jpg?s=24bb9e2676873fc31878ac0c0b17ade2,OVA (1 eps),Sep 2013 - Sep 2013,266859
1483,Yama no Susume Third Season,7.59,https://cdn.myanimelist.net/r/50x70/images/anime/1070/93809.jpg?s=de80d7d5744a560c72c5d595aa1b7c84,TV (13 eps),Jul 2018 - Sep 2018,25678
1484,Strike Witches Movie,7.58,https://cdn.myanimelist.net/r/50x70/images/anime/1133/96040.jpg?s=c4743fa0e5b2a735b82eafb123b84d61,Movie (1 eps),Mar 2012 - Mar 2012,41755
1485,Sword Art Online: Alicization - War of Underworld,7.58,https://cdn.myanimelist.net/r/50x70/images/anime/1630/103417.jpg?s=b74d7934124682608cfac2b9c8e55cf0,TV (12 eps),Oct 2019 - Dec 2019,740518
1486,Tamayura: More Aggressive,7.58,https://cdn.myanimelist.net/r/50x70/images/anime/3/53895.jpg?s=a8b5604a315c1157fd1cec5cd34e1045,TV (12 eps),Jul 2013 - Sep 2013,20557
1487,Tonikaku Kawaii 2nd Season,7.58,https://cdn.myanimelist.net/r/50x70/images/anime/1996/133361.jpg?s=e16f2585de1cf701f8d516f9a3001436,TV (12 eps),Apr 2023 - Jun 2023,226743
1488,Towa no Quon 6: Towa no Quon,7.58,https://cdn.myanimelist.net/r/50x70/images/anime/10/35131.jpg?s=96da389f61943d533fffa12574350e6b,Movie (1 eps),Nov 2011 - Nov 2011,40424
1489,Tsubasa Chronicle 2nd Season,7.58,https://cdn.myanimelist.net/r/50x70/images/anime/4/6554.jpg?s=3c5af5eaf66d653e678d4a9a14dac6de,TV (26 eps),Apr 2006 - Nov 2006,116796
1490,Uchuu Kyoudai: Number Zero,7.58,https://cdn.myanimelist.net/r/50x70/images/anime/5/61639.jpg?s=56b2a530c44a658cc2bb6e0f7722c7d5,Movie (1 eps),Aug 2014 - Aug 2014,7405
1491,World Trigger,7.58,https://cdn.myanimelist.net/r/50x70/images/anime/1783/106843.jpg?s=7effdb9d0b7afd81b198daa100920c81,TV (73 eps),Oct 2014 - Apr 2016,411274
1492,Yowamushi Pedal: Glory Line,7.58,https://cdn.myanimelist.net/r/50x70/images/anime/3/88489.jpg?s=61515484297a44dc8dc54a43e914d1d3,TV (25 eps),Jan 2018 - Jun 2018,58919
1493,Yume-iro Pâtissière SP Professional,7.58,https://cdn.myanimelist.net/r/50x70/images/anime/2/27794.jpg?s=15dacf0fcacee9224a46b3dff39b1afb,TV (13 eps),Oct 2010 - Dec 2010,41301
1494,Kidou Butouden G Gundam,7.58,https://cdn.myanimelist.net/r/50x70/images/anime/1187/133654.jpg?s=69ffa6e8f5c887ae83b2c37900f589b5,TV (49 eps),Apr 1994 - Mar 1995,68266
1495,Love Live! Sunshine!! 2nd Season,7.58,https://cdn.myanimelist.net/r/50x70/images/anime/13/88322.jpg?s=eb61a9f522e07e76e8cb2a691d0d0ffa,TV (13 eps),Oct 2017 - Dec 2017,114585
1496,Momo e no Tegami,7.58,https://cdn.myanimelist.net/r/50x70/images/anime/1149/107242.jpg?s=dfbb35b631f38a1c09a5955362b77d9d,Movie (1 eps),Apr 2012 - Apr 2012,81951
1497,Nanatsu no Taizai: Imashime no Fukkatsu,7.58,https://cdn.myanimelist.net/r/50x70/images/anime/11/90089.jpg?s=df7ee18d8c5f0bb4cb45308cba135c0e,TV (24 eps),Jan 2018 - Jun 2018,1103507
1498,Psycho-Pass Movie: Providence,7.58,https://cdn.myanimelist.net/r/50x70/images/anime/1244/134653.jpg?s=f227e0ddac1b9c19ca50f4163c337e9c,Movie (1 eps),May 2023 - May 2023,39540
1499,Ranma ½: Yomigaeru Kioku,7.58,https://cdn.myanimelist.net/r/50x70/images/anime/11/63453.jpg?s=0a5505f14a05ddf4d3ea75248cc0ede1,OVA (2 eps),Dec 1994 - Feb 1995,18844
1500,Ani ni Tsukeru Kusuri wa Nai! 4,7.58,https://cdn.myanimelist.net/r/50x70/images/anime/1416/129199.jpg?s=acddfef58f3f2d53a11db927747f5cba,TV (12 eps),Oct 2020 - Dec 2020,28409
1501,Ao no Exorcist Movie,7.58,https://cdn.myanimelist.net/r/50x70/images/anime/7/42005.jpg?s=c112a0a6774aff3e71836e2ff8f6b64a,Movie (1 eps),Dec 2012 - Dec 2012,267922
1502,Black Jack (TV),7.58,https://cdn.myanimelist.net/r/50x70/images/anime/1588/133791.jpg?s=49d33ccdf05202788660dd79fbaf0d4e,TV (61 eps),Oct 2004 - Mar 2006,35383
1503,Boku no Hero Academia the Movie 3: World Heroes' Mission,7.58,https://cdn.myanimelist.net/r/50x70/images/anime/1049/115605.jpg?s=e7e557c1f4273cb3c5b74f8eda163baa,Movie (1 eps),Aug 2021 - Aug 2021,237531
1504,Code Geass: Hangyaku no Lelouch Special Edition - Black Rebellion,7.58,https://cdn.myanimelist.net/r/50x70/images/anime/6/23532.jpg?s=ecf74398a4b96ee04782f9fdb780210b,OVA (1 eps),Feb 2008 - Feb 2008,41611
1505,Doraemon Movie 07: Nobita to Tetsujin Heidan,7.58,https://cdn.myanimelist.net/r/50x70/images/anime/10/72412.jpg?s=4c68aa386f309180d81228cea48b45ba,Movie (1 eps),Mar 1986 - Mar 1986,8121
1506,Fairy Tail: Final Series,7.58,https://cdn.myanimelist.net/r/50x70/images/anime/1536/93863.jpg?s=5a43e40468b24b466b535a8ea3fe688d,TV (51 eps),Oct 2018 - Sep 2019,494132
1507,Full Metal Panic! Invisible Victory,7.58,https://cdn.myanimelist.net/r/50x70/images/anime/1033/92011.jpg?s=a642f4682651fa6204b75d419707e557,TV (12 eps),Apr 2018 - Jul 2018,97116
1508,Ga-Rei: Zero,7.58,https://cdn.myanimelist.net/r/50x70/images/anime/9/83975.jpg?s=e1fbb955c43c95ee44a13b5c2a6b3e84,TV (12 eps),Oct 2008 - Dec 2008,236267
1509,GetBackers,7.58,https://cdn.myanimelist.net/r/50x70/images/anime/1056/109721.jpg?s=7a589b6db65333eb901b0fba15131c0d,TV (49 eps),Oct 2002 - Sep 2003,121370
1510,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen OVA,7.58,https://cdn.myanimelist.net/r/50x70/images/anime/1027/115055.jpg?s=6bf345e4a450f2dc8a401887a65be628,OVA (1 eps),May 2021 - May 2021,226393
1511,Air Gear: Kuro no Hane to Nemuri no Mori - Break on the Sky,7.57,https://cdn.myanimelist.net/r/50x70/images/anime/8/74158.jpg?s=c27c77880f569c0b9389b2d9a4ca0e08,OVA (3 eps),Nov 2010 - Jun 2011,65593
1512,Ajin Part 2,7.57,https://cdn.myanimelist.net/r/50x70/images/anime/12/81858.jpg?s=d058da50bd80b63791caf4603b8d0322,TV (13 eps),Oct 2016 - Dec 2016,291714
1513,Ao Haru Ride OVA,7.57,https://cdn.myanimelist.net/r/50x70/images/anime/9/69517.jpg?s=987b033b00dbeb11ee0855b0191e7097,OVA (2 eps),Aug 2014 - Dec 2014,146029
1514,Baka to Test to Shoukanjuu: Matsuri,7.57,https://cdn.myanimelist.net/r/50x70/images/anime/3/67303.jpg?s=048fca5bdfb21cefa072a303fe8047ad,OVA (2 eps),Feb 2011 - Mar 2011,124942
1515,Byousoku 5 Centimeter,7.57,https://cdn.myanimelist.net/r/50x70/images/anime/1410/112994.jpg?s=1ce5c6dba218d53418a158318af988cf,Movie (3 eps),Mar 2007 - Mar 2007,927571
1516,Candy Candy,7.57,https://cdn.myanimelist.net/r/50x70/images/anime/4/35051.jpg?s=e7f6566630b83a02c24b3f34ca897133,TV (115 eps),Oct 1976 - Feb 1979,30546
1517,Date A Bullet: Dead or Bullet,7.57,https://cdn.myanimelist.net/r/50x70/images/anime/1984/108425.jpg?s=75d6dc4c575fa5f2bb9683906a41fa29,Movie (1 eps),Aug 2020 - Aug 2020,103100
1518,Doraemon Movie 27: Nobita no Shin Makai Daibouken - 7-nin no Mahoutsukai,7.57,https://cdn.myanimelist.net/r/50x70/images/anime/2/72432.jpg?s=3f18e41a38f156069f699ef173d912a6,Movie (1 eps),Mar 2007 - Mar 2007,9321
1519,Dragon Quest: Dai no Daibouken (TV),7.57,https://cdn.myanimelist.net/r/50x70/images/anime/1963/108416.jpg?s=dad171c66130b545fcca55165c2f3a15,TV (46 eps),Oct 1991 - Sep 1992,23677
1520,Fairy Tail,7.57,https://cdn.myanimelist.net/r/50x70/images/anime/5/18179.jpg?s=24a281654f63558f3ef001950a9e6539,TV (175 eps),Oct 2009 - Mar 2013,1710628
1521,Fukigen na Mononokean Tsuzuki,7.57,https://cdn.myanimelist.net/r/50x70/images/anime/1298/111600.jpg?s=025db0f819d4ddd7b77dea6ec0b4f75f,TV (13 eps),Jan 2019 - Mar 2019,51896
1522,Hakumei to Mikochi: Neji to Bed to Irori to Bakuchi,7.57,https://cdn.myanimelist.net/r/50x70/images/anime/5/90014.jpg?s=bb96b9761f2886efb55f22a525647e5d,Special (1 eps),Jun 2018 - Jun 2018,8439
1523,Hibike! Euphonium Movie 1: Kitauji Koukou Suisougaku-bu e Youkoso,7.57,https://cdn.myanimelist.net/r/50x70/images/anime/8/81156.jpg?s=50c517b57d0341d6b81457a1ca033065,Movie (1 eps),Apr 2016 - Apr 2016,29287
1524,Higashi no Eden Movie II: Paradise Lost,7.57,https://cdn.myanimelist.net/r/50x70/images/anime/5/26126.jpg?s=31d25fd3f62369f7ff7781c87aea9e03,Movie (1 eps),Mar 2010 - Mar 2010,144409
1525,Higashi no Eden: Air Communication,7.57,https://cdn.myanimelist.net/r/50x70/images/anime/11/17608.jpg?s=59750569bb32f9eb67de492a6d3b0f43,Movie (1 eps),Sep 2009 - Sep 2009,34159
1526,Initial D Battle Stage,7.57,https://cdn.myanimelist.net/r/50x70/images/anime/2/13168.jpg?s=0dffa74c4b6f7f039c277faf0a227b1a,OVA (1 eps),May 2002 - May 2002,38029
1527,Isekai Nonbiri Nouka,7.57,https://cdn.myanimelist.net/r/50x70/images/anime/1983/132329.jpg?s=ac889a82e031e66bbba8313059e91bc0,TV (12 eps),Jan 2023 - Mar 2023,179581
1528,Star☆Twinkle Precure,7.57,https://cdn.myanimelist.net/r/50x70/images/anime/1585/97907.jpg?s=ff8c398f5c4e2bdfa71d308a9e31fdf5,TV (49 eps),Feb 2019 - Jan 2020,11442
1529,Tada-kun wa Koi wo Shinai,7.57,https://cdn.myanimelist.net/r/50x70/images/anime/1446/91841.jpg?s=ca7ca551a5ee439ef08becc8a0eebab6,TV (13 eps),Apr 2018 - Jun 2018,290994
1530,Tales of Vesperia: The First Strike,7.57,https://cdn.myanimelist.net/r/50x70/images/anime/7/16680.jpg?s=01f41ff3ee2a67e857a9ff70c5d08cc5,Movie (1 eps),Oct 2009 - Oct 2009,48740
1531,UFO Robo Grendizer,7.57,https://cdn.myanimelist.net/r/50x70/images/anime/1440/127558.jpg?s=63ba55f319cad868b68137dc1708b9bc,TV (74 eps),Oct 1975 - Feb 1977,11716
1532,Ushio to Tora (TV),7.57,https://cdn.myanimelist.net/r/50x70/images/anime/8/74945.jpg?s=ff85bb8e8f443343880567dc9a1731f7,TV (26 eps),Jul 2015 - Dec 2015,223438
1533,"Yondemasu yo, Azazel-san.",7.57,https://cdn.myanimelist.net/r/50x70/images/anime/2/24619.jpg?s=45205eef24e276aa1a6a8f6bf14ae3b5,OVA (4 eps),Feb 2010 - Jun 2014,31549
1534,Yume no Crayon Oukoku,7.57,https://cdn.myanimelist.net/r/50x70/images/anime/11/28591.jpg?s=f9b881ee2edc28a11cf0e6fd60ee22c0,TV (70 eps),Sep 1997 - Jan 1999,4429
1535,Yuru Yuri,7.57,https://cdn.myanimelist.net/r/50x70/images/anime/12/75173.jpg?s=45933ee5442177e74c3fbc848b127752,TV (12 eps),Jul 2011 - Sep 2011,333793
1536,Kaitou Saint Tail,7.57,https://cdn.myanimelist.net/r/50x70/images/anime/6/46607.jpg?s=da6ce63718060b9e2161119667ab9b1e,TV (43 eps),Oct 1995 - Sep 1996,20497
1537,Kara no Kyoukai Movie 1: Fukan Fuukei,7.57,https://cdn.myanimelist.net/r/50x70/images/anime/12/21741.jpg?s=be172e5381adaf4dee00539b323bfd2c,Movie (1 eps),Dec 2007 - Dec 2007,420164
1538,Kubo-san wa Mob wo Yurusanai,7.57,https://cdn.myanimelist.net/r/50x70/images/anime/1818/132330.jpg?s=a49be02ba24f63a68f1b9228dd003679,TV (12 eps),Jan 2023 - Jun 2023,181143
1539,Log Horizon 2nd Season,7.57,https://cdn.myanimelist.net/r/50x70/images/anime/5/68097.jpg?s=843e25fefdf0cffa49ba7bfb41e2d8d3,TV (25 eps),Oct 2014 - Mar 2015,604805
1540,Nisekoi,7.57,https://cdn.myanimelist.net/r/50x70/images/anime/13/75587.jpg?s=62eb23b86cf20c3b322424c96703b742,TV (20 eps),Jan 2014 - May 2014,1151238
